_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
66911f17946bfa8c4787fa0e,Dashboards com Power BI,livros,57.63,9.3105595123,2022-02/01,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa0f,Copo térmico,esporte e lazer,50.31,0.0,2022-02/01,Beatriz Moraes,RJ,1,cartao_credito,2,-22.25,-42.66
66911f17946bfa8c4787fa10,Corda de pular,esporte e lazer,21.88,0.0,2022-02/01,Larissa Alves,SC,5,cartao_credito,5,-27.45,-50.95
66911f17946bfa8c4787fa11,Mesa de jantar,moveis,264.63,14.6218559113,2022-02/01,Thiago Silva,MG,5,cartao_credito,4,-18.1,-44.38
66911f17946bfa8c4787fa12,Ciência de dados com python,livros,79.28,1.8058605601,2022-02/01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa13,Bicicleta,esporte e lazer,520.28,27.9864706964,2022-02/01,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
66911f17946bfa8c4787fa14,Mochila,esporte e lazer,147.99,5.4644613527,2022-02/01,João Souza,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa15,Poltrona,moveis,251.37,10.969135344,2022-02/01,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
66911f17946bfa8c4787fa16,Dashboards com Power BI,livros,41.76,2.7546988942,2022-02/01,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa17,Ciência de dados com python,livros,82.15,1.958679426,2023-02/01,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
66911f17946bfa8c4787fa18,Smartwatch,eletronicos,184.84,17.9198218199,2023-02/01,Lucas Oliveira,BA,4,cartao_credito,3,-13.29,-41.71
66911f17946bfa8c4787fa19,Bola de vôlei,esporte e lazer,55.1,3.2170351457,2023-02/01,Bianca Santos,SP,1,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787fa1a,Cômoda,moveis,417.02,19.7894995019,2023-02/01,Felipe Santos,PR,5,cartao_credito,2,-24.89,-51.55
66911f17946bfa8c4787fa1b,Fone de ouvido,eletronicos,108.12,6.6969125635,2023-02/01,Beatriz Moraes,PR,4,cartao_credito,5,-24.89,-51.55
66911f17946bfa8c4787fa1c,Lava louças,eletrodomesticos,1702.95,88.2614034053,2023-02/01,João Souza,PR,2,cartao_credito,10,-24.89,-51.55
66911f17946bfa8c4787fa1d,TV Led UHD 4K,eletronicos,2404.01,125.5907393338,2023-02/01,Pedro Gomes,MG,5,cartao_credito,2,-18.1,-44.38
66911f17946bfa8c4787fa1e,Modelagem preditiva,livros,70.49,1.337819504,2023-02/01,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
66911f17946bfa8c4787fa1f,Dashboards com Power BI,livros,40.98,0.0,2023-02/01,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
66911f17946bfa8c4787fa20,Assistente virtual,eletronicos,214.5,9.0059187638,2023-02/01,Thiago Silva,BA,5,cartao_credito,10,-13.29,-41.71
66911f17946bfa8c4787fa29,Geladeira,eletrodomesticos,2774.0,147.9902805969,2021-03/01,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
66911f17946bfa8c4787fa2a,Lavadora de roupas,eletrodomesticos,2034.43,108.8583816384,2021-03/01,Thiago Silva,RS,5,cartao_credito,2,-30.17,-53.5
66911f17946bfa8c4787fa2b,Celular ABXY,eletronicos,1522.65,87.3184671407,2021-03/01,Juliana Costa,SP,1,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787fa2c,Xadrez de madeira,brinquedos,28.76,0.0,2021-03/01,Lucas Oliveira,SP,4,cartao_credito,5,-22.19,-48.79
66911f17946bfa8c4787fa2d,Fogão,eletrodomesticos,1378.02,74.7745347061,2021-03/01,Beatriz Moraes,MS,5,boleto,1,-20.51,-54.54
66911f17946bfa8c4787fa2e,Cubo mágico 8x8,brinquedos,14.52,3.9369626407,2021-03/01,Thiago Silva,DF,5,cartao_credito,5,-15.83,-47.86
66911f17946bfa8c4787fa2f,Micro-ondas,eletrodomesticos,930.94,47.1541934231,2021-03/01,Thiago Silva,PE,5,cartao_credito,10,-8.38,-37.86
66911f17946bfa8c4787fa30,Corda de pular,esporte e lazer,32.96,11.3359643772,2022-03/01,Juliana Costa,SP,1,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa31,Celular ABXY,eletronicos,1100.5,59.2853264023,2022-03/01,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa32,Bola de vôlei,esporte e lazer,54.42,3.1808271914,2022-03/01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa33,Guarda roupas,moveis,663.54,36.0185209544,2022-03/01,Juliana Costa,RS,3,cartao_credito,10,-30.17,-53.5
66911f17946bfa8c4787fa34,Lavadora de roupas,eletrodomesticos,2060.2,107.2838911531,2022-03/01,Mariana Ferreira,PB,4,cartao_credito,5,-7.28,-36.72
66911f17946bfa8c4787fa35,Carrinho controle remoto,brinquedos,116.0,3.7610900916,2022-03/01,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa36,Sofá retrátil,moveis,890.4,44.9955603837,2022-03/01,Rafael Costa,RS,4,boleto,1,-30.17,-53.5
66911f17946bfa8c4787fa37,Mesa de jantar,moveis,476.88,22.9768644188,2022-03/01,João Souza,MG,4,cartao_credito,10,-18.1,-44.38
66911f17946bfa8c4787fa38,Ciência de dados com python,livros,50.51,10.2450858314,2022-03/01,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38
66911f17946bfa8c4787fa39,Headset,eletronicos,219.88,11.9967253244,2022-03/01,Mariana Ferreira,CE,5,cartao_credito,4,-5.2,-39.53
66911f17946bfa8c4787fa3a,Pandeiro,instrumentos musicais,109.52,3.416049586,2022-03/01,Pedro Gomes,PE,5,cartao_credito,1,-8.38,-37.86
66911f17946bfa8c4787fa3b,Lavadora de roupas,eletrodomesticos,1732.36,89.8273974282,2022-03/01,Bruno Rodrigues,RJ,5,cartao_credito,2,-22.25,-42.66
66911f17946bfa8c4787fa3c,Modelagem preditiva,livros,71.64,1.3990535443,2023-03/01,Mariana Ferreira,SP,4,cartao_credito,2,-22.19,-48.79
66911f17946bfa8c4787fa3d,Bateria,instrumentos musicais,535.83,26.1157745734,2023-03/01,Felipe Santos,MG,5,cartao_credito,8,-18.1,-44.38
66911f17946bfa8c4787fa3e,Dashboards com Power BI,livros,43.35,3.2481049178,2023-03/01,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71
66911f17946bfa8c4787fa3f,Dinossauro Rex,brinquedos,28.71,2.2157332793,2023-03/01,Bruno Rodrigues,RJ,5,cartao_credito,7,-22.25,-42.66
66911f17946bfa8c4787fa40,Bicicleta,esporte e lazer,406.16,22.3138102573,2023-03/01,Bruno Rodrigues,PA,4,cartao_credito,6,-3.79,-52.48
66911f17946bfa8c4787fa41,Cama box,moveis,834.98,44.9912775682,2023-03/01,Mariana Ferreira,SP,1,cartao_credito,3,-22.19,-48.79
66911f17946bfa8c4787fa46,Assistente virtual,eletronicos,180.46,10.295964254,2021-04/01,Lucas Oliveira,PE,1,cartao_credito,4,-8.38,-37.86
66911f17946bfa8c4787fa47,Boneca bebê,brinquedos,67.88,4.1406707791,2021-04/01,Mariana Ferreira,MG,5,cartao_credito,2,-18.1,-44.38
66911f17946bfa8c4787fa48,Bicicleta,esporte e lazer,773.72,41.729366863,2021-04/01,João Souza,MG,5,cartao_credito,1,-18.1,-44.38
66911f17946bfa8c4787fa49,Lavadora de roupas,eletrodomesticos,1822.44,94.6238864312,2021-04/01,Thiago Silva,MS,3,cartao_credito,5,-20.51,-54.54
66911f17946bfa8c4787fa4a,Pandeiro,instrumentos musicais,58.75,6.292077079,2021-04/01,Juliana Costa,SP,3,cupom,1,-22.19,-48.79
66911f17946bfa8c4787fa4b,Guitarra,instrumentos musicais,892.6,48.0545296884,2021-04/01,Mariana Ferreira,PR,4,boleto,1,-24.89,-51.55
66911f17946bfa8c4787fa4c,Panela de pressão,utilidades domesticas,94.58,2.6205395316,2021-04/01,Juliana Costa,DF,5,cartao_credito,10,-15.83,-47.86
66911f17946bfa8c4787fa4d,Mesa de centro,moveis,217.42,19.3750120217,2021-04/01,Bruno Rodrigues,SP,5,cartao_debito,1,-22.19,-48.79
66911f17946bfa8c4787fa4e,Iniciando em programação,livros,83.18,5.1160969115,2021-04/01,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787fa4f,Boneca bebê,brinquedos,51.2,3.2573504949,2021-04/01,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa50,Dashboards com Power BI,livros,40.85,0.0,2021-04/01,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa51,Celular ABXY,eletronicos,1578.34,81.6262957825,2021-04/01,Bianca Santos,SP,4,cartao_credito,2,-22.19,-48.79
66911f17946bfa8c4787fa52,Guarda roupas,moveis,666.47,33.0719615556,2022-04/01,Rafael Costa,MA,5,boleto,1,-5.42,-45.44
66911f17946bfa8c4787fa53,Cômoda,moveis,331.48,15.2347518407,2022-04/01,Isabella Pereira,MG,5,cartao_credito,10,-18.1,-44.38
66911f17946bfa8c4787fa54,Impressora,eletronicos,363.8,20.0582676933,2022-04/01,Isabella Pereira,RJ,5,cartao_credito,5,-22.25,-42.66
66911f17946bfa8c4787fa55,Faqueiro,utilidades domesticas,76.93,4.9847062385,2022-04/01,Bianca Santos,SP,4,cartao_credito,3,-22.19,-48.79
66911f17946bfa8c4787fa56,Ciência de dados com python,livros,75.04,1.5800933158,2022-04/01,Bianca Santos,RO,2,cartao_credito,7,-10.83,-63.34
66911f17946bfa8c4787fa57,Micro-ondas,eletrodomesticos,677.31,33.6491589445,2022-04/01,Camila Ribeiro,SP,5,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa5e,Jogo de panelas,utilidades domesticas,268.49,14.8273892988,2021-05/01,Isabella Pereira,BA,5,cupom,1,-13.29,-41.71
66911f17946bfa8c4787fa5f,Kit banquetas,moveis,394.53,21.533800584,2021-05/01,Felipe Santos,SC,5,cartao_credito,3,-27.45,-50.95
66911f17946bfa8c4787fa60,Celular Plus X42,eletronicos,2842.86,151.6568684382,2021-05/01,Bianca Santos,SP,4,cupom,1,-22.19,-48.79
66911f17946bfa8c4787fa61,Geladeira,eletrodomesticos,2405.84,129.5028576086,2021-05/01,Isabella Pereira,RJ,3,cartao_credito,2,-22.25,-42.66
66911f17946bfa8c4787fa62,Headset,eletronicos,98.2,2.8132936411,2021-05/01,Felipe Santos,RJ,5,cartao_credito,4,-22.25,-42.66
66911f17946bfa8c4787fa63,Ciência de dados com python,livros,58.61,4.0606540096,2021-05/01,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55
66911f17946bfa8c4787fa64,Micro-ondas,eletrodomesticos,1034.13,55.5954159446,2021-05/01,Mariana Ferreira,SP,4,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787fa65,Tablet ABXY,eletronicos,1642.22,85.0277136057,2022-05/01,Lucas Oliveira,SP,4,cartao_credito,6,-22.19,-48.79
66911f17946bfa8c4787fa66,Mesa de jantar,moveis,360.0,19.4520428834,2022-05/01,Thiago Silva,SP,2,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa67,Sofá retrátil,moveis,895.8,45.2830941384,2022-05/01,Pedro Gomes,SP,5,cartao_credito,9,-22.19,-48.79
66911f17946bfa8c4787fa68,Cadeira de escritório,moveis,619.44,33.5144209995,2022-05/01,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa69,Mesa de centro,moveis,282.19,12.6102076249,2022-05/01,Pedro Gomes,MG,5,cartao_credito,1,-18.1,-44.38
66911f17946bfa8c4787fa6a,Tablet ABXY,eletronicos,1754.04,93.6804790483,2022-05/01,Rafael Costa,MG,5,cartao_credito,8,-18.1,-44.38
66911f17946bfa8c4787fa6b,Mochila,esporte e lazer,132.49,4.639132983,2022-05/01,Felipe Santos,BA,5,boleto,1,-13.29,-41.71
66911f17946bfa8c4787fa6c,Mesa de centro,moveis,277.62,15.0712066192,2022-05/01,Lucas Oliveira,SC,5,cartao_credito,1,-27.45,-50.95
66911f17946bfa8c4787fa6d,Cadeira de escritório,moveis,403.02,21.9907070783,2022-05/01,Juliana Costa,MG,1,boleto,1,-18.1,-44.38
66911f17946bfa8c4787fa74,Guarda roupas,moveis,607.71,32.8898337881,2021-06/01,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa75,Boneca bebê,brinquedos,71.38,4.0895470723,2021-06/01,Camila Ribeiro,SP,3,cartao_credito,10,-22.19,-48.79
66911f17946bfa8c4787fa76,Dashboards com Power BI,livros,55.44,3.6390253647,2021-06/01,Camila Ribeiro,SP,3,cartao_credito,10,-22.19,-48.79
66911f17946bfa8c4787fa77,Guitarra,instrumentos musicais,818.58,41.1713614473,2021-06/01,Isabella Pereira,SP,5,cupom,1,-22.19,-48.79
66911f17946bfa8c4787fa78,Mesa de centro,moveis,214.27,11.9403374145,2021-06/01,Bruno Rodrigues,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa79,TV Led UHD 4K,eletronicos,2366.39,123.58758751,2021-06/01,Isabella Pereira,MG,3,boleto,1,-18.1,-44.38
66911f17946bfa8c4787fa7a,Boneca bebê,brinquedos,78.61,4.4688719181,2021-06/01,Lucas Oliveira,MG,5,cartao_debito,1,-18.1,-44.38
66911f17946bfa8c4787fa7b,Cama king,moveis,897.42,48.0680411071,2021-06/01,Pedro Gomes,PB,3,cartao_credito,3,-7.28,-36.72
66911f17946bfa8c4787fa7c,Cama king,moveis,695.31,34.6076047932,2021-06/01,João Souza,SP,1,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa7d,Mesa de jantar,moveis,317.11,17.1682794138,2022-06/01,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
66911f17946bfa8c4787fa7e,Cubo mágico 8x8,brinquedos,20.95,1.6466289991,2022-06/01,Isabella Pereira,PA,4,cartao_credito,10,-3.79,-52.48
66911f17946bfa8c4787fa7f,Xadrez de madeira,brinquedos,37.57,0.0,2022-06/01,Beatriz Moraes,SP,4,cartao_credito,8,-22.19,-48.79
66911f17946bfa8c4787fa80,Bola de basquete,esporte e lazer,70.87,1.3580533608,2022-06/01,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa81,Celular ABXY,eletronicos,1490.52,83.8457446259,2022-06/01,Felipe Santos,MG,5,cartao_credito,5,-18.1,-44.38
66911f17946bfa8c4787fa82,Bola de vôlei,esporte e lazer,79.7,4.5269111389,2022-06/01,Bianca Santos,MG,5,cartao_credito,6,-18.1,-44.38
66911f17946bfa8c4787fa83,Cômoda,moveis,430.76,30.4922543858,2022-06/01,Thiago Silva,RJ,5,cartao_credito,4,-22.25,-42.66
66911f17946bfa8c4787fa84,Copo térmico,esporte e lazer,72.03,5.2344961512,2022-06/01,Felipe Santos,CE,5,cartao_credito,8,-5.2,-39.53
66911f17946bfa8c4787fa85,Corda de pular,esporte e lazer,13.3,0.0,2022-06/01,Bruno Rodrigues,SP,5,cartao_credito,3,-22.19,-48.79
66911f17946bfa8c4787fa86,Sofá retrátil,moveis,860.42,43.3992155757,2022-06/01,Rafael Costa,MG,5,cartao_credito,3,-18.1,-44.38
66911f17946bfa8c4787fa87,Jogo de tabuleiro,brinquedos,183.79,10.0693904942,2022-06/01,Thiago Silva,SP,3,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa88,Cubo mágico 8x8,brinquedos,12.83,2.0822742487,2022-06/01,Mariana Ferreira,SP,5,cartao_credito,7,-22.19,-48.79
66911f17946bfa8c4787fa89,Boneca bebê,brinquedos,77.75,11.9419632143,2022-06/01,Thiago Silva,SP,2,cartao_credito,3,-22.19,-48.79
66911f17946bfa8c4787fa8e,Dinossauro Rex,brinquedos,24.39,1.8297986502,2021-07/01,Bianca Santos,MG,4,cartao_credito,6,-18.1,-44.38
66911f17946bfa8c4787fa8f,Dashboards com Power BI,livros,46.87,0.0,2021-07/01,Beatriz Moraes,RS,5,cartao_credito,8,-30.17,-53.5
66911f17946bfa8c4787fa90,Mesa de centro,moveis,238.81,13.2470185882,2021-07/01,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
66911f17946bfa8c4787fa91,Mesa de centro,moveis,238.33,20.488406616,2021-07/01,Thiago Silva,RJ,5,boleto,1,-22.25,-42.66
66911f17946bfa8c4787fa92,Jogo de tabuleiro,brinquedos,248.91,13.5424854904,2021-07/01,Rafael Costa,MT,1,cartao_credito,2,-12.64,-55.42
66911f17946bfa8c4787fa93,Dinossauro Rex,brinquedos,19.59,0.0,2021-07/01,Larissa Alves,SP,3,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fa94,Cama box,moveis,664.41,32.9622727529,2021-07/01,Beatriz Moraes,PR,5,cartao_credito,1,-24.89,-51.55
66911f17946bfa8c4787fa95,Geladeira,eletrodomesticos,3309.16,173.7872537772,2021-07/01,Mariana Ferreira,SC,1,cartao_credito,4,-27.45,-50.95
66911f17946bfa8c4787fa96,Smart TV,eletronicos,2179.74,116.3477233708,2021-07/01,Mariana Ferreira,DF,5,cartao_credito,1,-15.83,-47.86
66911f17946bfa8c4787fa97,Cadeira de escritório,moveis,496.37,27.3700570508,2021-07/01,Bianca Santos,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa98,Iniciando em programação,livros,56.9,3.560858347,2021-07/01,Mariana Ferreira,SP,4,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fa99,Corda de pular,esporte e lazer,26.63,1.9490719113,2022-07/01,Thiago Silva,SP,5,cartao_credito,2,-22.19,-48.79
66911f17946bfa8c4787fa9a,Lava louças,eletrodomesticos,1567.6,84.0010885515,2022-07/01,Bruno Rodrigues,SP,1,cupom,1,-22.19,-48.79
66911f17946bfa8c4787fa9b,Celular ABXY,eletronicos,1594.69,82.4968840951,2022-07/01,Isabella Pereira,RJ,5,cartao_credito,3,-22.25,-42.66
66911f17946bfa8c4787fa9c,Guitarra,instrumentos musicais,955.2,51.1446522815,2022-07/01,Lucas Oliveira,RS,3,cartao_credito,1,-30.17,-53.5
66911f17946bfa8c4787fa9d,Blocos de montar,brinquedos,44.17,2.640696431,2022-07/01,João Souza,SP,5,cartao_credito,2,-22.19,-48.79
66911f17946bfa8c4787fa9e,Celular Plus X42,eletronicos,3386.44,177.9021812878,2022-07/01,Larissa Alves,SP,4,cartao_credito,8,-22.19,-48.79
66911f17946bfa8c4787fa9f,Xadrez de madeira,brinquedos,31.39,0.0,2022-07/01,João Souza,RS,2,cartao_credito,5,-30.17,-53.5
66911f17946bfa8c4787faa0,Headset,eletronicos,281.02,15.2465954871,2022-07/01,Mariana Ferreira,MS,5,boleto,1,-20.51,-54.54
66911f17946bfa8c4787faa1,Modelagem preditiva,livros,105.99,3.2280877057,2022-07/01,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787faad,Cama box,moveis,644.88,31.922359007,2021-08/01,Larissa Alves,TO,3,cartao_credito,5,-9.46,-48.26
66911f17946bfa8c4787faae,Lava louças,eletrodomesticos,1304.52,67.0462045436,2021-08/01,Beatriz Moraes,RS,5,cartao_credito,5,-30.17,-53.5
66911f17946bfa8c4787faaf,Geladeira,eletrodomesticos,2779.44,148.5279228476,2021-08/01,Bruno Rodrigues,RJ,5,cartao_credito,4,-22.25,-42.66
66911f17946bfa8c4787fab0,Smartwatch,eletronicos,269.3,14.6225407456,2021-08/01,Juliana Costa,RJ,5,cartao_credito,5,-22.25,-42.66
66911f17946bfa8c4787fab1,Poltrona,moveis,280.79,15.6382349209,2021-08/01,Camila Ribeiro,RJ,5,cartao_debito,1,-22.25,-42.66
66911f17946bfa8c4787fab2,Sofá retrátil,moveis,903.89,49.017838409,2021-08/01,Juliana Costa,SP,1,cartao_debito,1,-22.19,-48.79
66911f17946bfa8c4787fab3,Lavadora de roupas,eletrodomesticos,1673.59,95.4932470308,2021-08/01,João Souza,SP,1,boleto,1,-22.19,-48.79
66911f17946bfa8c4787fab4,TV Led UHD 4K,eletronicos,3158.33,175.973580586,2021-08/01,Bianca Santos,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fab5,Jogo de panelas,utilidades domesticas,258.57,11.3525136834,2021-08/01,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fab6,Modelagem preditiva,livros,101.54,14.5010858917,2021-08/01,Rafael Costa,DF,3,cartao_credito,4,-15.83,-47.86
66911f17946bfa8c4787fab7,Guarda roupas,moveis,697.32,37.4133180887,2021-08/01,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fab8,Guitarra,instrumentos musicais,946.34,47.9741970936,2021-08/01,Felipe Santos,SP,2,cartao_credito,3,-22.19,-48.79
66911f17946bfa8c4787fab9,Faqueiro,utilidades domesticas,72.62,1.4512355961,2021-08/01,João Souza,SP,5,cartao_credito,4,-22.19,-48.79
66911f17946bfa8c4787faba,Lava louças,eletrodomesticos,1604.75,85.9792142893,2021-08/01,Mariana Ferreira,SP,4,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fabb,Iniciando em programação,livros,41.11,0.0,2022-08/01,Thiago Silva,ES,1,cartao_credito,1,-19.19,-40.34
66911f17946bfa8c4787fabc,Smartwatch,eletronicos,237.47,14.2973574466,2022-08/01,Bruno Rodrigues,MG,5,cartao_credito,1,-18.1,-44.38
66911f17946bfa8c4787fabd,Guitarra,instrumentos musicais,1115.85,57.0000946391,2022-08/01,Mariana Ferreira,RJ,5,boleto,1,-22.25,-42.66
66911f17946bfa8c4787fabe,Jogo de copos,utilidades domesticas,45.01,2.9277516169,2022-08/01,Lucas Oliveira,RS,4,boleto,1,-30.17,-53.5
66911f17946bfa8c4787fabf,Corda de pular,esporte e lazer,10.08,1.0629946648,2022-08/01,Bianca Santos,RJ,1,cartao_credito,1,-22.25,-42.66
66911f17946bfa8c4787fac0,Boneca bebê,brinquedos,51.46,0.0,2022-08/01,Pedro Gomes,CE,5,cartao_credito,1,-5.2,-39.53
66911f17946bfa8c4787fac1,Blocos de montar,brinquedos,39.27,0.0,2022-08/01,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
66911f17946bfa8c4787fac2,Bicicleta,esporte e lazer,928.16,47.0061667864,2022-08/01,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
